target_names,left_distance,right_distance,up_distance,down_distance,target
Z,36,52,34,37,26
Z,30,44,34,37,26
Z,32,47,28,30,26
Z,38,49,40,43,26
Z,43,40,41,43,26
Z,19,24,40,43,26
Z,38,41,26,28,26
Z,24,29,35,37,26
Z,32,38,33,35,26
Z,37,40,42,44,26
Z,35,38,41,43,26
Z,30,32,33,35,26
Z,34,31,38,41,26
Z,37,38,46,48,26
Z,36,38,37,40,26
Z,48,45,43,46,26
Z,27,35,46,48,26
Z,39,47,43,46,26
Z,32,36,33,36,26
Z,39,40,44,46,26
Z,39,40,46,49,26
Z,25,36,33,35,26
Z,35,41,43,46,26
Z,31,64,41,44,26
Z,40,42,38,40,26
Z,41,47,47,49,26
Z,41,44,44,47,26
Z,31,37,40,43,26
Z,41,46,38,41,26
Z,34,42,37,40,26
Z,33,36,38,41,26
Z,38,42,45,48,26
Z,37,51,37,39,26
Z,37,42,42,44,26
Z,43,51,42,45,26
Z,33,45,40,42,26
Z,29,39,42,45,26
Z,22,25,23,25,26
Z,36,38,40,42,26
Z,37,42,44,47,26
Z,30,64,46,48,26
Z,45,48,46,49,26
Z,29,27,38,41,26
Z,37,40,45,48,26
Z,32,38,30,33,26
Z,42,42,46,49,26
Z,27,32,38,41,26
Z,50,42,40,43,26
Z,37,57,42,45,26
Z,38,42,41,43,26
Z,40,37,44,46,26
Z,16,42,35,37,26
Z,23,51,34,36,26
Z,31,36,40,43,26
Z,46,44,44,46,26
Z,48,50,43,46,26
Z,34,42,40,43,26
Z,38,39,36,38,26
Z,24,33,38,40,26
Z,29,36,39,42,26
Z,42,48,41,43,26
Z,23,28,30,33,26
Z,37,42,44,47,26
Z,12,40,29,31,26
Z,32,35,43,46,26
Z,37,47,47,50,26
Z,37,40,38,41,26
Z,43,51,45,47,26
Z,37,43,41,44,26
Z,33,48,34,36,26
Z,27,45,34,36,26
Z,36,41,45,47,26
Z,15,18,42,44,26
Z,42,47,42,45,26
Z,41,45,42,44,26
Z,25,31,37,39,26
Z,39,42,44,46,26
Z,26,40,45,48,26
Z,35,64,40,43,26
Z,41,45,43,46,26
Z,37,39,36,38,26
Z,41,45,37,40,26
Z,42,50,46,49,26
Z,28,37,47,49,26
Z,21,29,38,40,26
Z,32,35,41,44,26
Z,41,49,43,45,26
Z,45,39,36,38,26
Z,41,44,42,44,26
Z,29,38,42,45,26
Z,44,45,45,48,26
Z,40,50,39,42,26
Z,41,45,46,47,26
Z,44,46,46,49,26
Z,33,35,17,20,26
Z,42,48,41,44,26
Z,36,44,37,39,26
Z,35,40,39,42,26
Z,43,45,46,48,26
Z,35,45,38,40,26
Z,18,26,40,43,26
Z,41,40,44,47,26
Z,20,24,38,41,26
Z,44,43,41,44,26
Z,43,37,27,30,26
Z,27,30,31,33,26
Z,31,35,36,38,26
Z,43,48,47,50,26
Z,40,45,43,45,26
Z,23,26,34,37,26
Z,34,38,43,46,26
Z,30,37,38,40,26
Z,37,38,36,38,26
Z,23,39,32,35,26
Z,34,44,44,47,26
Z,44,48,46,48,26
Z,35,37,36,38,26
Z,22,37,43,46,26
Z,38,41,38,41,26
Z,34,37,42,44,26
Z,39,43,43,45,26
Z,41,44,44,46,26
Z,41,48,42,44,26
Z,37,43,39,41,26
Z,38,42,40,42,26
Z,28,39,42,44,26
Z,46,48,42,45,26
Z,32,45,42,44,26
Z,37,43,44,46,26
Z,38,39,35,37,26
Z,33,39,43,46,26
Z,19,26,33,35,26
Z,33,35,40,42,26
Z,41,53,43,46,26
Z,40,46,39,42,26
Z,30,34,26,30,26
Z,27,49,42,45,26
Z,35,36,37,40,26
Z,34,37,41,44,26
Z,38,41,44,47,26
Z,34,39,41,44,26
Z,46,54,52,54,26
Z,34,38,47,49,26
Z,34,37,34,37,26
Z,39,47,40,43,26
Z,31,38,37,39,26
Z,20,21,36,39,26
Z,43,46,34,37,26
Z,29,45,28,31,26
Z,33,39,34,36,26
Z,39,31,47,49,26
Z,0,6,36,38,26
Z,45,49,39,42,26
Z,44,42,44,46,26
Z,25,43,30,33,26
Z,27,31,41,44,26
Z,24,37,35,37,26
Z,41,47,43,46,26
Z,46,51,46,49,26
Z,36,39,42,45,26
Z,35,47,39,41,26
Z,33,39,41,43,26
Z,32,38,40,43,26
Z,28,38,35,38,26
Z,32,34,37,39,26
Z,34,37,45,48,26
Z,38,40,41,44,26
Z,28,34,35,38,26
Z,40,30,34,37,26
Z,29,39,34,37,26
Z,44,43,41,44,26
Z,39,43,46,49,26
Z,43,48,45,48,26
Z,33,38,41,43,26
Z,37,39,40,43,26
Z,14,41,29,31,26
Z,32,39,41,43,26
Z,40,41,34,36,26
Z,11,14,34,36,26
Z,35,43,37,40,26
Z,32,35,39,41,26
Z,24,29,36,39,26
Z,38,40,37,40,26
Z,38,40,41,44,26
Z,28,31,33,35,26
Z,43,37,44,47,26
Z,33,46,44,47,26
Z,38,43,45,48,26
Z,39,42,42,45,26
Z,37,40,39,41,26
Z,32,43,42,44,26
Z,32,25,35,38,26
Z,43,45,39,41,26
Z,31,36,31,33,26
Z,29,32,42,45,26
Z,33,38,36,38,26
Z,31,31,41,44,26
Z,21,25,23,27,26
Z,32,53,34,36,26
Z,31,34,36,38,26
Z,35,40,41,43,26
Z,44,48,49,52,26
Z,49,43,44,46,26
Z,41,44,49,51,26
Z,35,36,37,39,26
Z,53,38,47,50,26
Z,43,55,44,46,26
Z,36,40,38,41,26
Z,28,33,41,43,26
Z,37,41,45,47,26
Z,36,42,46,48,26
Z,28,36,36,38,26
Z,23,20,25,28,26
Z,35,38,38,41,26
Z,27,41,37,40,26
Z,24,26,33,36,26
Z,41,43,39,42,26
Z,29,34,39,41,26
Z,45,48,37,39,26
Z,29,36,41,43,26
Z,35,44,46,48,26
Z,28,29,39,42,26
Z,34,36,38,41,26
Z,35,50,42,44,26
Z,18,23,26,29,26
Z,53,48,42,45,26
Z,40,37,44,47,26
Z,37,39,29,31,26
Z,29,30,34,37,26
Z,36,38,45,47,26
Z,33,43,36,38,26
Z,42,46,45,48,26
Z,42,45,45,48,26
Z,37,39,31,34,26
Z,39,49,43,46,26
Z,41,46,40,42,26
Z,31,36,42,45,26
Z,25,27,36,39,26
Z,39,42,36,38,26
Z,43,41,40,43,26
Z,35,37,40,43,26
Z,30,32,34,36,26
Z,41,33,37,40,26
Z,45,37,43,45,26
Z,49,48,41,43,26
Z,28,29,36,39,26
Z,33,43,40,42,26
Z,27,35,34,36,26
Z,38,41,39,41,26
Z,34,45,38,40,26
Z,38,42,47,49,26
Z,38,42,41,44,26
Z,47,47,47,49,26
Z,21,23,24,26,26
Z,35,37,40,43,26
Z,33,40,38,41,26
Z,29,25,32,35,26
Z,31,41,42,45,26
Z,11,13,42,45,26
Z,37,47,45,47,26
Z,39,44,41,43,26
Z,39,41,44,46,26
Z,39,42,45,48,26
Z,33,41,45,47,26
Z,46,50,47,50,26
Z,40,46,40,43,26
Z,39,41,42,44,26
Z,43,47,41,44,26
Z,41,43,43,45,26
Z,39,46,39,41,26
Z,38,40,44,47,26
Z,27,36,34,36,26
Z,38,43,42,45,26
Z,40,48,45,48,26
Z,39,49,45,48,26
Z,34,40,41,44,26
Z,44,44,41,43,26
Z,29,35,36,38,26
Z,45,47,45,47,26
Z,44,43,48,50,26
Z,39,48,40,43,26
Z,35,36,33,35,26
Z,43,45,48,50,26
Z,31,37,45,48,26
Z,40,44,42,45,26
Z,4,44,28,31,26
Z,40,46,44,46,26
Z,23,35,36,38,26
Z,35,38,42,45,26
Z,45,49,45,47,26
Z,44,49,43,45,26
Z,44,44,38,41,26
Z,34,64,39,41,26
Z,40,43,36,38,26
Z,41,43,36,39,26
Z,32,35,37,40,26
Z,35,42,39,41,26
Z,36,35,34,36,26
Z,15,22,22,24,26
Z,36,43,47,50,26
Z,38,45,41,44,26
Z,43,46,47,49,26
Z,41,40,45,47,26
Z,35,37,39,42,26
Z,41,43,41,44,26
Z,36,40,44,47,26
Z,44,44,43,46,26
Z,16,28,38,40,26
Z,35,46,43,46,26
Z,28,34,37,39,26
Z,19,22,40,42,26
Z,33,36,45,47,26
Z,41,44,43,46,26
Z,26,62,45,48,26
Z,41,45,43,46,26
Z,31,37,44,45,26
Z,35,41,39,42,26
Z,51,44,46,48,26
Z,36,44,46,48,26
Z,36,38,46,49,26
Z,44,46,40,43,26
Z,32,33,35,38,26
Z,31,38,35,37,26
Z,40,46,42,44,26
Z,32,29,37,40,26
Z,31,39,39,42,26
Z,30,28,34,36,26
Z,30,40,39,41,26
Z,15,26,24,26,26
Z,34,37,32,34,26
Z,46,40,43,46,26
Z,41,43,47,50,26
Z,33,26,40,42,26
Z,29,33,32,34,26
Z,26,36,41,44,26
Z,41,47,41,43,26
Z,35,36,46,49,26
Z,33,39,42,44,26
Z,22,23,41,44,26
Z,42,51,40,43,26
Z,31,34,38,40,26
Z,28,30,33,36,26
Z,34,41,37,40,26
Z,21,23,27,30,26
Z,21,29,42,45,26
Z,33,36,39,41,26
Z,37,41,45,48,26
Z,37,45,45,48,26
Z,31,47,42,44,26
Z,40,44,45,48,26
Z,40,52,43,46,26
Z,33,43,43,46,26
Z,45,51,45,47,26
Z,36,39,39,42,26
Z,35,39,37,39,26
Z,35,41,47,50,26
Z,30,48,42,44,26
Z,38,42,42,45,26
Z,27,61,33,36,26
Z,25,34,31,33,26
Z,29,31,27,29,26
Z,19,22,45,48,26
Z,37,42,39,41,26
Z,41,44,46,49,26
Z,34,37,30,33,26
Z,34,49,38,41,26
Z,35,39,44,47,26
Z,37,41,42,45,26
Z,33,40,37,40,26
Z,34,42,42,45,26
Z,34,38,36,38,26
Z,41,39,38,41,26
Z,38,41,35,38,26
Z,35,38,40,43,26
Z,40,46,44,47,26
Z,25,27,32,34,26
Z,43,41,49,52,26
Z,25,27,37,39,26
Z,45,48,42,45,26
Z,32,41,41,44,26
Z,35,41,34,36,26
Z,38,43,42,44,26
Z,46,49,46,49,26
Z,38,33,33,35,26
Z,34,39,46,49,26
Z,36,40,37,40,26
Z,34,40,41,43,26
Z,43,46,46,49,26
Z,39,41,45,47,26
Z,35,38,42,44,26
Z,30,30,36,38,26
Z,43,46,42,45,26
Z,29,35,43,46,26
Z,34,52,38,41,26
Z,39,38,40,42,26
Z,33,37,38,41,26
Z,39,36,41,44,26
Z,33,41,40,43,26
Z,38,40,39,41,26
Z,29,32,40,42,26
Z,33,41,27,29,26
Z,38,41,43,45,26
Z,32,35,38,40,26
Z,33,36,39,41,26
Z,28,32,40,43,26
Z,39,46,45,47,26
Z,46,48,45,47,26
Z,29,38,40,43,26
Z,36,38,48,50,26
Z,34,40,33,36,26
Z,34,37,45,47,26
Z,35,40,40,42,26
Z,29,30,37,40,26
Z,35,45,41,43,26
Z,36,49,36,38,26
Z,44,48,39,41,26
Z,28,33,40,43,26
Z,34,46,36,38,26
Z,27,31,35,38,26
Z,47,54,40,43,26
m,35,41,50,53,13
m,30,30,41,44,13
m,31,44,47,49,13
m,37,34,42,45,13
m,27,36,41,44,13
m,33,38,48,50,13
m,37,38,41,43,13
m,37,41,41,43,13
m,38,42,48,50,13
m,28,36,45,48,13
m,25,29,47,50,13
m,26,30,42,44,13
m,32,36,45,47,13
m,34,43,46,49,13
m,36,40,48,50,13
m,33,39,46,49,13
m,36,39,44,46,13
m,37,35,46,49,13
m,27,31,41,43,13
m,36,41,49,52,13
m,28,35,49,52,13
m,34,41,41,44,13
m,41,37,43,46,13
m,35,41,46,49,13
m,29,33,41,43,13
m,25,59,39,53,13
m,39,42,49,52,13
m,38,44,48,50,13
m,34,39,47,49,13
m,34,48,44,47,13
m,33,31,47,50,13
m,39,44,46,48,13
m,40,45,39,66,13
m,46,42,49,51,13
m,42,48,49,52,13
m,41,40,47,49,13
m,34,37,47,49,13
m,36,32,41,43,13
m,34,37,47,49,13
m,25,31,50,52,13
m,41,45,45,47,13
m,46,49,52,55,13
m,36,37,39,42,13
m,30,33,50,53,13
m,21,25,43,45,13
m,40,47,49,51,13
m,14,19,39,41,13
m,33,26,47,50,13
m,29,35,38,40,13
m,31,34,50,52,13
m,35,40,48,50,13
m,33,32,45,47,13
m,35,37,44,46,13
m,43,41,42,44,13
m,40,48,49,52,13
m,39,39,50,53,13
m,25,32,42,44,13
m,25,28,46,48,13
m,28,23,43,45,13
m,41,44,43,45,13
m,34,37,40,43,13
m,36,41,41,43,13
m,40,43,44,46,13
m,37,51,45,48,13
m,35,40,45,48,13
m,25,29,40,43,13
m,38,39,51,53,13
m,36,40,51,54,13
m,40,43,48,50,13
m,34,38,51,54,13
m,41,41,47,49,13
m,47,45,53,55,13
m,40,43,48,50,13
m,29,36,48,50,13
m,41,43,49,52,13
m,45,47,48,51,13
m,40,44,50,52,13
m,36,40,46,50,13
m,27,37,47,49,13
m,34,39,51,53,13
m,29,34,45,48,13
m,38,42,48,51,13
m,32,34,38,40,13
m,36,37,45,48,13
m,47,49,40,43,13
m,41,42,48,50,13
m,18,28,49,51,13
m,31,33,46,49,13
m,27,29,45,47,13
m,43,41,48,50,13
m,39,45,48,50,13
m,38,49,54,56,13
m,42,45,54,57,13
m,41,44,48,50,13
m,41,43,48,51,13
m,38,32,44,47,13
m,33,40,49,51,13
m,40,43,50,53,13
m,28,44,47,50,13
m,33,44,43,45,13
m,32,34,47,49,13
m,30,36,43,46,13
m,39,38,49,51,13
m,36,38,47,49,13
m,30,33,45,48,13
m,42,45,48,50,13
m,32,42,45,47,13
m,36,39,40,43,13
m,21,26,43,45,13
m,36,41,49,52,13
m,40,45,52,54,13
m,37,41,42,44,13
m,36,38,48,51,13
m,37,38,40,42,13
m,42,38,47,50,13
m,35,42,48,51,13
m,47,41,51,53,13
m,32,33,42,44,13
m,42,41,51,54,13
m,34,38,46,48,13
m,31,34,44,46,13
m,41,44,50,53,13
m,39,44,51,53,13
m,39,38,49,51,13
m,40,42,48,51,13
m,46,46,52,55,13
m,28,31,47,50,13
m,22,25,40,43,13
m,36,41,42,45,13
m,33,35,49,51,13
m,35,41,44,47,13
m,45,44,48,50,13
m,23,27,47,50,13
m,35,40,51,53,13
m,30,35,45,47,13
m,37,39,48,51,13
m,43,47,47,49,13
m,24,32,47,50,13
m,36,40,38,41,13
m,33,34,48,50,13
m,39,45,48,50,13
m,37,50,48,51,13
m,39,43,54,56,13
m,40,42,51,53,13
m,40,43,47,50,13
m,32,36,44,46,13
m,32,43,43,46,13
m,40,37,47,49,13
m,40,45,47,50,13
m,38,42,45,49,13
m,26,28,43,45,13
m,38,45,45,48,13
m,27,30,45,48,13
m,24,28,48,51,13
m,25,30,46,49,13
m,33,48,44,47,13
m,33,48,47,50,13
m,30,37,42,44,13
m,34,36,48,50,13
m,37,39,46,49,13
m,34,38,50,53,13
m,34,36,46,48,13
m,33,37,46,48,13
m,33,31,47,49,13
m,34,46,47,49,13
m,37,34,40,42,13
m,39,45,48,51,13
m,44,46,52,54,13
m,35,38,42,45,13
m,46,42,45,48,13
m,26,34,42,45,13
m,39,40,48,51,13
m,45,47,48,50,13
m,39,42,49,51,13
m,37,40,44,46,13
m,24,20,37,39,13
m,34,36,46,48,13
m,36,40,45,48,13
m,37,38,41,43,13
m,40,40,52,55,13
m,33,38,45,47,13
m,32,28,43,45,13
m,33,38,50,53,13
m,32,35,47,49,13
m,29,39,42,46,13
m,45,45,46,48,13
m,32,49,47,50,13
m,50,42,46,48,13
m,22,25,43,45,13
m,30,35,42,44,13
m,39,46,51,54,13
m,28,40,45,48,13
m,38,45,43,45,13
m,31,33,45,47,13
m,36,51,49,51,13
m,26,31,42,45,13
m,37,37,47,49,13
m,29,29,42,44,13
m,38,33,41,44,13
m,40,43,48,50,13
m,43,41,54,56,13
m,42,40,49,51,13
m,37,39,51,53,13
m,35,31,48,51,13
m,48,51,46,49,13
m,37,42,47,50,13
m,34,36,50,52,13
m,43,45,48,50,13
m,36,40,42,45,13
m,29,35,48,51,13
m,20,23,38,41,13
m,30,33,42,45,13
m,32,35,46,48,13
m,36,39,45,47,13
m,31,40,48,50,13
m,25,29,47,49,13
m,27,31,47,50,13
m,42,47,51,53,13
m,39,40,45,47,13
m,35,34,47,49,13
m,42,51,47,49,13
m,34,41,46,48,13
m,40,39,49,52,13
m,32,36,43,45,13
m,27,33,46,49,13
m,39,39,45,47,13
m,36,39,47,50,13
m,39,42,52,54,13
m,38,51,51,54,13
m,24,29,39,41,13
m,38,41,46,48,13
m,35,32,45,47,13
m,39,35,43,45,13
m,42,37,53,55,13
m,23,19,39,41,13
m,32,37,47,49,13
m,36,40,46,48,13
m,34,37,47,50,13
m,28,34,43,45,13
m,15,18,45,47,13
m,35,41,48,51,13
m,35,39,51,53,13
m,37,41,45,47,13
m,27,29,41,43,13
m,34,34,47,50,13
m,23,25,40,43,13
m,40,40,46,49,13
m,44,38,44,47,13
m,40,46,52,54,13
m,36,44,45,48,13
m,44,45,47,50,13
m,32,39,47,50,13
m,43,43,48,51,13
m,22,29,38,40,13
m,26,29,45,48,13
m,38,45,52,55,13
m,36,41,49,51,13
m,43,54,50,53,13
m,44,45,45,48,13
m,30,36,48,50,13
m,49,49,47,50,13
m,34,38,45,47,13
m,39,42,53,55,13
m,38,44,47,50,13
m,40,41,49,52,13
m,44,46,51,53,13
m,30,33,48,50,13
m,52,42,50,53,13
m,48,45,46,48,13
m,34,42,48,51,13
m,33,34,46,49,13
m,39,44,48,51,13
m,31,37,48,50,13
m,34,49,41,44,13
m,42,47,47,49,13
m,36,38,46,49,13
m,48,46,47,50,13
m,42,46,48,50,13
m,33,43,43,45,13
m,40,44,51,54,13
m,35,39,48,51,13
m,25,27,43,46,13
m,39,38,37,40,13
m,24,25,40,42,13
m,28,36,49,51,13
m,21,26,48,50,13
m,43,43,48,50,13
m,46,49,44,47,13
m,40,32,46,48,13
m,49,44,44,47,13
m,22,27,46,48,13
m,24,29,42,45,13
m,38,41,42,44,13
m,41,44,50,53,13
m,27,34,50,53,13
m,34,34,47,50,13
m,31,43,45,47,13
m,33,36,42,44,13
m,37,36,45,47,13
m,34,46,45,48,13
m,33,37,45,47,13
m,31,34,46,48,13
m,39,34,41,43,13
m,37,41,44,48,13
m,31,41,47,49,13
m,29,33,47,50,13
m,40,45,47,49,13
m,36,41,46,49,13
m,50,48,47,49,13
m,42,40,47,49,13
m,36,36,49,51,13
m,12,16,45,47,13
m,35,47,50,52,13
m,39,48,47,50,13
m,41,43,48,51,13
m,26,33,44,47,13
m,31,36,47,50,13
m,29,34,34,37,13
m,41,49,49,51,13
m,38,40,44,47,13
m,32,33,41,44,13
m,33,35,47,49,13
m,43,49,49,51,13
m,35,48,45,47,13
m,41,42,47,50,13
m,31,35,45,47,13
m,38,41,43,46,13
m,43,46,45,48,13
m,41,40,43,45,13
m,39,42,43,46,13
m,38,41,47,50,13
m,48,43,44,47,13
m,36,40,45,47,13
m,33,36,48,50,13
m,44,44,46,49,13
m,27,31,48,50,13
m,33,37,49,51,13
m,25,28,41,44,13
m,36,38,49,51,13
m,29,40,35,38,13
m,27,45,43,45,13
m,40,43,47,49,13
m,36,39,47,49,13
m,46,42,44,47,13
m,24,27,48,51,13
m,37,40,43,46,13
m,43,34,48,50,13
m,25,33,44,46,13
m,33,35,44,46,13
m,30,43,49,51,13
m,34,44,44,46,13
m,8,11,56,59,13
m,37,42,41,43,13
m,43,43,41,43,13
m,26,33,42,44,13
m,40,43,49,52,13
m,37,42,44,47,13
m,32,34,42,45,13
m,26,34,41,44,13
m,35,37,51,53,13
m,35,43,45,48,13
m,38,38,49,51,13
m,31,35,43,45,13
m,29,30,47,49,13
m,31,37,42,44,13
m,27,36,44,46,13
m,34,38,45,48,13
m,34,34,46,48,13
m,41,45,51,54,13
m,47,48,46,48,13
m,34,47,45,48,13
m,40,46,50,53,13
m,32,38,45,48,13
m,28,31,45,48,13
m,43,48,51,53,13
m,46,49,52,54,13
m,39,48,50,52,13
m,41,46,48,51,13
m,37,40,49,52,13
m,31,36,47,49,13
m,43,47,47,49,13
m,37,34,46,49,13
m,27,30,40,42,13
m,40,43,48,51,13
m,34,31,45,48,13
m,38,42,45,48,13
m,41,49,49,52,13
m,29,30,41,43,13
m,22,29,36,40,13
m,28,32,48,50,13
m,24,29,47,50,13
m,33,42,46,48,13
m,27,50,48,50,13
m,47,50,54,56,13
m,37,42,48,51,13
m,26,35,47,50,13
m,37,37,43,47,13
m,24,27,45,48,13
m,38,41,45,48,13
m,39,43,45,47,13
m,29,50,47,50,13
m,34,38,49,51,13
m,46,47,51,53,13
m,26,31,46,48,13
m,34,35,44,46,13
m,33,34,44,46,13
m,28,30,41,44,13
m,42,42,44,47,13
m,16,19,46,48,13
m,43,50,47,50,13
m,30,41,44,46,13
m,5,36,40,42,13
m,51,34,51,54,13
m,37,44,45,47,13
